rank	token	count
210	मंदिर	208
211	संयुक्त	207
212	स्थिति	204
213	मांग	204
214	ये	203
215	गांधी	201
216	इसी	200
217	करेंगे	200
218	जैसे	200
219	समिति	200
220	मुख्य	199
221	विशेष	199
222	ले	199
223	कार्यक्रम	196
224	पद	195
225	होगी	194
226	बयान	194
227	जाना	193
228	वहां	192
229	अमेरिकी	192
230	संख्या	192
231	सकती	192
232	समर्थन	190
233	करीब	190
234	बुधवार	189
235	जिसमें	186
236	पूरा	186
237	बोर्ड	186
238	मदद	184
239	कंपनी	184
240	अपना	184
241	आने	183
242	वरिष्ठ	183
243	क्योंकि	183
244	लाख	183
245	जाएगी	182
246	सीमा	182
247	संबंध	180
248	लगा	180
249	उनका	180
250	उसने	179
251	ऐसा	177
252	पेश	176
253	इसकी	175
254	कानून	175
255	लेने	175
256	राजनीतिक	174
257	संसद	174
258	मंगलवार	173
259	हजार	173
260	होता	171
261	निर्माण	170
262	मुंबई	170
263	घोषणा	169
264	लगभग	169
265	याचिका	168
266	विधानसभा	168
267	होती	167
268	दूसरे	166
269	जाए	166
270	एस	165
271	नेतृत्व	165
272	शनिवार	165
273	दर्ज	164
274	यूपीए	164
275	प्रति	163
276	आडवाणी	163
277	रखा	163
278	इसलिए	163
279	उम्मीद	161
280	ऐसे	161
281	नई	161
282	आगे	161
283	देते	161
284	टीम	160
285	हर	159
286	वजह	159
287	सामने	158
288	फैसले	157
289	सचिव	156
290	विरोध	156
291	चल	156
292	पता	155
293	सदस्य	155
294	सोमवार	154
295	रात	154
296	क्या	154
297	बृहस्पतिवार	153
298	एवं	153
299	यदि	152
300	ली	152
301	जवाब	152
302	जनता	151
303	पी	151
304	बारिश	150
305	करता	150
306	नए	150
307	सोनिया	150
308	बजे	149
309	उसकी	149
310	रखने	149
311	लगाया	149
312	आ	148
313	बंद	148
314	आए	148
315	कोशिश	147
316	जम्मू	147
317	सरकारी	147
318	अगर	147
319	व्यवस्था	146
320	जिले	146
321	मामला	145
322	राजग	145
323	कार्रवाई	145
324	अगले	145
325	शहर	145
326	शुक्रवार	145
327	मिलने	144
328	यादव	144
329	बाहर	144
330	लालू	144
331	पांच	143
332	ए	143
333	जरूरत	142
334	सुबह	142
335	प्रयास	141
336	रक्षा	141
337	घटना	139
338	सवाल	138
339	विभिन्न	136
340	उन	136
341	भूमिका	136
342	तौर	135
343	आर्थिक	135
344	प्रक्रिया	134
345	रहने	134
346	पानी	134
347	वहीं	134
348	माना	133
349	मुलाकात	133
350	मुशर्रफ	133
351	मौजूद	133
352	ऑफ	133
353	आदेश	133
354	मिल	132
355	कमी	131
356	चर्चा	131
357	संभावना	131
358	वापस	131
359	इस्तेमाल	131
360	आतंकी	130
361	कार्य	130
362	स्तर	130
363	जहां	130
364	बना	130
365	लागू	129
366	महत्वपूर्ण	129
367	दक्षिण	128
368	महीने	128
369	महिला	128
370	संघ	127
371	कराने	127
372	मारे	127
373	हाल	127
374	परिवार	127
375	आधार	127
376	तय	127
377	गौरतलब	126
378	चुके	126
379	पूरे	126
380	लोकसभा	126
381	पहली	126
382	छह	125
383	आई	125
384	व्यक्ति	125
385	दुनिया	124
386	पड़ा	122
387	वित्त	122
388	बड़ी	122
389	मिली	121
390	दावा	121
391	घर	121
392	सम्मेलन	121
393	बड़े	120
394	थीं	120
395	समेत	120
396	कंपनियों	119
397	क्षेत्रों	119
398	भारी	119
399	विश्व	119
400	केवल	118
401	ध्यान	118
402	सदस्यों	118
403	चाहते	118
404	प्रभावित	118
405	अभियान	118
406	अंतिम	118
407	रेलवे	117
408	हमले	117
409	अंतर्राष्ट्रीय	117
410	सूचना	117
411	पक्ष	117
412	रविवार	117
413	प्राप्त	117
414	जरिए	116
415	बनाया	116
416	होते	116
417	हत्या	115
418	समस्या	115
419	बजट	115
420	मैं	114
421	भर	114
422	दबाव	114
423	तब	114
424	बन	113
425	स्थान	113
426	वाला	113
427	परमाणु	113
428	फिल्म	113
429	गिरफ्तार	113
430	दलों	113
431	सांसद	112
432	प्रवक्ता	112
433	वार्ता	112
434	लगाने	111
435	दिनों	111
436	पत्रकारों	110
437	बावजूद	110
438	सेवा	110
439	स्थानीय	110
440	कुमार	110
441	आतंकियों	110
442	निर्देश	109
443	संगठन	109
444	कृषि	109
445	आम	108
446	पाकिस्तानी	108
447	सुप्रीम	108
448	खान	108
449	पहुंच	107
450	स्वास्थ्य	107
451	जाती	107
452	गयी	107
453	बढ़ाने	106
454	स्वीकार	106
455	उपलब्ध	106
456	वाजपेयी	105
457	राजद	105
458	मानना	105
459	गृह	105
460	खुद	104
461	कभी	104
462	उपयोग	103
463	दर	103
464	सात	103
465	स्कूल	103
466	दूर	103
467	आयोजित	103
468	बाजार	102
469	राजधानी	102
470	जून	102
471	सके	102
472	मौके	101
473	गांव	101
474	रेल	101
475	मौसम	101
476	सुनवाई	101
477	पश्चिम	101
478	नीति	100
479	जताई	100
480	दूसरी	100
481	जिससे	99
482	प्रदर्शन	99
483	सदन	99
484	शिक्षा	99
485	बिजली	99
486	सहयोग	99
487	लगातार	99
488	जल्द	98
489	हाईकोर्ट	98
490	उसका	97
491	हिस्सा	97
492	इनमें	97
493	राहत	97
494	उच्च	96
495	होंगे	96
496	होना	96
497	स्पष्ट	96
498	जगह	96
499	पासवान	96
500	आया	95
501	वृद्धि	95
502	गठबंधन	95
503	करके	95
504	सी	95
505	निजी	95
506	मीडिया	94
507	राष्ट्र	94
508	देखते	94
509	युद्ध	94
510	संबंधित	94
511	बड़ा	94
512	शांति	94
513	जेल	93
514	करेगी	93
515	राज्यपाल	93
516	बच्चों	93
517	हाथ	92
518	जी	92
519	घंटे	92
520	देना	92
521	गठन	92
522	चीन	92
523	करती	91
524	मोहम्मद	91
525	समूह	91
526	जरूरी	91
527	घायल	90
528	जिसे	90
529	चुकी	90
530	आप	90
531	साफ	89
532	इलाके	89
533	पीछे	89
534	हवाई	89
535	मुस्लिम	89
536	जिस	89
537	परिषद	88
538	शाम	88
539	इलाकों	88
540	हमें	88
541	संबंधी	88
542	हासिल	88
543	वक्त	88
544	गैस	88
545	अतिरिक्त	87
546	सही	87
547	पाया	87
548	बिना	87
549	बैंक	87
550	बनाए	87
551	मिला	87
552	दस	87
553	आर	86
554	रोक	86
555	किसानों	86
556	मसले	86
557	विवाद	86
558	बस	86
559	जस्टिस	86
560	दिसंबर	86
561	कदम	86
562	महासचिव	86
563	माकपा	85
564	मई	85
565	नियंत्रण	85
566	पत्नी	85
567	सीबीआई	85
568	राय	84
569	नटवर	84
570	देर	84
571	देखने	84
572	जनवरी	84
573	बढ़	83
574	खत्म	83
575	सप्ताह	83
576	पंजाब	83
577	समझौते	83
578	विपक्ष	83
579	खारिज	82
580	ऐसी	82
581	विमान	82
582	सामान्य	82
583	तरीके	82
584	पैदा	82
585	चलते	82
586	डॉ	82
587	सहित	82
588	उमा	82
589	मार्च	82
590	भेजा	82
591	शिकायत	81
592	बने	81
593	भाई	81
594	चुका	81
595	मामलों	80
596	इराक	80
597	पश्चिमी	80
598	गुजरात	80
599	कराया	80
600	कार्यालय	80
601	विश्वविद्यालय	80
602	सिर्फ	80
603	लाभ	80
604	प्रसाद	80
605	करार	80
606	मौत	79
607	जिसके	79
608	मध्य	79
609	निर्णय	79
610	करेगा	79
611	सुनामी	78
612	ग्रामीण	78
613	जाते	78
614	तेल	78
615	अप्रैल	78
616	वकील	78
617	मंत्रियों	78
618	आतंकवाद	78
619	समाधान	78
620	इनकार	78
621	उल्लेखनीय	78
622	सत्र	77
623	पहचान	77
624	सत्ता	77
625	प्रदान	77
626	उत्पादन	77
627	भाग	77
628	रह	77
629	अधिकार	77
630	प्रशासन	77
631	उत्तरी	77
632	इंडिया	76
633	एम	76
634	फिलहाल	76
635	गैर	76
636	सामाजिक	75
637	शुरुआत	75
638	जुलाई	75
639	कुल	75
640	बुश	75
641	ब्याज	75
642	तेजी	75
643	पाक	75
644	चला	74
645	प्रणाली	74
646	नजर	74
647	जनरल	74
648	गलत	74
649	संस्थानों	74
650	सार्वजनिक	74
651	बल	74
652	सूची	73
653	समारोह	73
654	अनुमति	73
655	निवेश	73
656	सहमति	72
657	स्टेशन	72
658	व्यापार	72
659	अस्पताल	72
660	विधायकों	72
661	खंडपीठ	72
662	देखा	72
663	तैनात	72
664	ऊर्जा	72
665	हरियाणा	72
666	माह	71
667	वर्तमान	71
668	मिले	71
669	दशक	71
670	ऊपर	71
671	चाहती	71
672	बताते	71
673	जाएंगे	71
674	प्रकार	71
675	कमेटी	71
676	कीमत	71
677	रोकने	71
678	यूरोपीय	71
679	चीनी	71
680	हमारे	70
681	वी	70
682	प्रकाश	70
683	ब्रिटेन	70
684	चुनौती	70
685	अनिल	70
686	हमला	70
687	पाटिल	70
688	तापमान	70
689	गंभीर	70
690	सैन्य	70
691	डी	69
692	लगाए	69
693	जोर	69
694	पहुंचे	69
695	बी	69
696	लगे	69
697	मानव	69
698	नुकसान	69
699	राव	69
700	प्रभाव	69
701	लाल	69
702	अपील	68
703	द	68
704	सड़क	68
705	फोन	68
706	खर्च	68
707	होकर	67
708	यही	67
709	वर्ग	67
710	मुद्दों	67
711	मैच	67
712	मंत्रिमंडल	67
713	नेपाल	67
714	अंदर	67
715	सहायता	67
716	छात्रों	67
717	नागरिक	67
718	धार्मिक	67
719	तुलना	66
720	ट्रेन	66
721	विदेशी	66
722	रिलायंस	66
723	रुख	66
724	वालों	66
725	उससे	66
726	ताकि	66
727	मजबूत	66
728	मार	65
729	नदी	65
730	पूछताछ	65
731	भारती	65
732	बंगाल	65
733	प्रवेश	65
734	मुखर्जी	65
735	लग	64
736	स्थापित	64
737	असम	64
738	पड़	64
739	ठीक	64
740	जवानों	64
741	खबर	64
742	एजेंसी	64
743	शर्मा	64
744	निदेशक	63
745	जॉर्ज	63
746	डिग्री	63
747	जीवन	63
748	जुड़े	63
749	उसी	63
750	मतदान	63
751	परियोजना	63
752	व्यक्त	63
753	आठ	63
754	विरोधी	63
755	संकेत	62
756	सांसदों	62
757	संजय	62
758	समुद्र	62
759	उद्योग	62
760	सितंबर	62
761	अंतरिक्ष	62
762	न्यूनतम	62
763	झारखंड	62
764	बहरहाल	62
765	क्रिकेट	62
766	हूं	61
767	किलोमीटर	61
768	पत्र	61
769	व्यापक	61
770	मानसून	61
771	महाराष्ट्र	61
772	संसाधन	61
773	बेहतर	61
774	सीट	61
775	लाने	61
776	भूकंप	61
777	सुधार	61
778	राज्यसभा	61
779	जिला	60
780	नया	60
781	हिस्से	60
782	अगस्त	60
783	स्वागत	60
784	बचाव	60
785	उनसे	60
786	मुझे	60
787	शंकराचार्य	60
788	विधेयक	60
789	कार	60
790	दौरे	59
791	मिनट	59
792	जल	59
793	निगम	59
794	पूर्वी	59
795	फरवरी	59
796	स्थानों	59
797	असर	59
798	एन	59
799	पूछे	59
800	संपर्क	59
801	उदाहरण	59
802	संसदीय	59
803	बच्चे	59
804	नवंबर	59
805	मौजूदा	59
806	आतंकवादी	59
807	विकसित	58
808	वर्षों	58
809	संगठनों	58
810	खुफिया	58
811	सजा	58
812	कर्मचारियों	58
813	समाप्त	58
814	अच्छी	58
815	मूल्य	58
816	इस्तीफा	58
817	राजनीति	58
818	बम	58
819	आग	58
820	नोटिस	58
821	परिवर्तन	57
822	दिशा	57
823	पार	57
824	आबादी	57
825	लगी	57
826	खरीद	57
827	भीड़	57
828	कानूनी	57
829	रहते	57
830	दायर	57
831	मूल	57
832	विमर्श	57
833	अध्ययन	57
834	देवी	57
835	जैसी	57
836	फ्रांस	57
837	होटल	57
838	दोपहर	57
839	यात्रियों	57
840	संविधान	57
841	विज्ञान	56
842	जिनमें	56
843	जिसका	56
844	बदलाव	56
845	जोशी	56
846	प्रबंधन	56
847	तेज	56
848	करनी	56
849	चिंता	56
850	बनी	56
851	दिखाई	56
852	जवान	56
853	जीत	56
854	पाने	56
855	विस्फोट	56
856	सुझाव	55
857	नियुक्त	55
858	मार्ग	55
859	विश्वास	55
860	उप	55
861	सिन्हा	55
862	कहते	55
863	रहेगा	55
864	जमकर	55
865	इतिहास	55
866	करें	55
867	रवाना	55
868	दौर	55
869	चुनावों	55
870	महिलाओं	55
871	हुसैन	54
872	उठाया	54
873	देकर	54
874	करा	54
875	लगता	54
876	अल	54
877	शासन	54
878	खेल	54
879	संपत्ति	54
880	स्थापना	54
881	पुरस्कार	54
882	विधायक	54
883	आवश्यक	54
884	नेशनल	54
885	प्रत्येक	54
886	अमर	54
887	वित्तीय	53
888	जमा	53
889	सौ	53
890	जे	53
891	भूमि	53
892	मद्देनजर	53
893	हिरासत	53
894	हुर्रियत	53
895	घाटी	53
896	हल	53
897	हटाने	53
898	बढ़ावा	53
899	वोट	53
900	पहला	53
901	सब	53
902	मौका	53
903	तैयारी	53
904	समक्ष	53
905	भेज	53
906	छोटे	53
907	वहाँ	53
908	आशंका	53
909	समान	53
910	लिखा	52
911	नीचे	52
912	श्रीलंका	52
913	बढ़ा	52
914	क्षमता	52
915	राजस्थान	52
916	राज	52
917	सलाह	52
918	धर्म	52
919	अक्तूबर	52
920	अधिकांश	52
921	पुष्टि	52
922	वाम	52
923	प्रावधान	52
924	चिदंबरम	52
925	आरक्षण	52
926	जाँच	52
927	दूरी	52
928	अवधि	52
929	सामना	52
930	बाल	52
931	तरफ	52
932	होनी	52
933	प्रतिशत	51
934	आपूर्ति	51
935	मिलकर	51
936	पर्यटन	51
937	चाहता	51
938	स्वतंत्र	51
939	संभव	51
940	पिता	51
941	संस्थान	51
942	सलाहकार	50
943	संबोधित	50
944	जिम्मेदार	50
945	मैंने	50
946	प्रस्तावित	50
947	टन	50
948	अय्यर	50
949	घोषित	50
950	समीक्षा	50
951	समुदाय	50
952	कैसे	50
953	मंजूरी	50
954	आधारित	50
955	कार्यवाही	50
956	भीतर	50
957	मुठभेड़	50
958	समस्याओं	50
959	यू	49
960	पाई	49
961	दाखिल	49
962	नौ	49
963	आनंद	49
964	खास	49
965	निर्धारित	49
966	नेटवर्क	49
967	एंड	49
968	संघर्ष	49
969	बेहद	49
970	शहरों	49
971	तुरंत	49
972	हिंसा	49
973	हथियारों	48
974	किमी	48
975	वापसी	48
976	अध्यक्षता	48
977	भवन	48
978	जिम्मेदारी	48
979	हमने	48
980	क्यों	48
981	वीं	48
982	गोली	48
983	कड़ी	48
984	कैबिनेट	48
985	चलने	48
986	विस्तार	48
987	छोड़	48
988	प्राकृतिक	48
989	कांफ्रेंस	48
990	राशि	48
991	अवसर	48
992	वर्षीय	48
993	बहस	47
994	पटना	47
995	कटौती	47
996	कही	47
997	दूसरा	47
998	घरेलू	47
999	कर्नाटक	47
1000	शताब्दी	47
1001	लेते	47
1002	आयुक्त	47
1003	मेडिकल	47
1004	चिकित्सा	47
1005	मुद्दा	47
1006	हार	47
1007	नंबर	47
1008	माहौल	47
1009	अहमद	47
1010	मोदी	47
1011	रेखा	46
1012	पहुंचने	46
1013	तलाश	46
1014	सीटों	46
1015	तमाम	46
1016	स्थल	46
1017	हथियार	46
1018	खूबसूरत	46
1019	दोबारा	46
1020	ब्यूरो	46
1021	हवा	46
1022	जहाँ	46
1023	डॉक्टर	46
1024	रखे	46
1025	दर्शन	46
1026	जैसा	46
1027	आयोजन	46
1028	बदल	46
1029	तमिलनाडु	46
1030	आंध्र	46
1031	हमारी	45
1032	रखते	45
1033	टेस्ट	45
1034	सपा	45
1035	इंडियन	45
1036	हस्ताक्षर	45
1037	कलाम	45
1038	विकल्प	45
1039	प्रकाशित	45
1040	अब्दुल	45
1041	टिकट	45
1042	महाजन	45
1043	सुरक्षित	45
1044	विषय	45
1045	अनुरोध	45
1046	बांग्लादेश	45
1047	हालात	45
1048	द्वीप	45
1049	राम	45
1050	अड्डे	45
1051	योजनाओं	45
1052	सहयोगी	45
1053	चरण	45
1054	रोजगार	44
1055	सुविधा	44
1056	बरामद	44
1057	एक्सप्रेस	44
1058	तीनों	44
1059	बढ़ोतरी	44
1060	दौरा	44
1061	कह	44
1062	पेट्रोलियम	44
1063	आते	44
1064	पारित	44
1065	धारा	44
1066	जिन्हें	44
1067	बनने	44
1068	भविष्य	44
1069	घुसपैठ	44
1070	रहता	44
1071	पूर्ण	44
1072	साबित	44
1073	पड़ी	44
1074	ईरान	44
1075	संशोधन	44
1076	अयोध्या	44
1077	अच्छा	44
1078	तीसरे	44
1079	पक्षों	43
1080	रखी	43
1081	ब्रिटिश	43
1082	मुकाबले	43
1083	निपटने	43
1084	सर्वाधिक	43
1085	विशेषज्ञों	43
1086	लाइन	43
1087	जिलों	43
1088	जिन	43
1089	अल्पसंख्यक	43
1090	तकनीक	43
1091	आयकर	43
1092	बलों	43
1093	रहती	43
1094	अरब	43
1095	पहुंचा	43
1096	खराब	43
1097	ज्यादातर	43
1098	जैन	43
1099	कल	43
1100	पालन	42
1101	परीक्षण	42
1102	औसत	42
1103	रहेंगे	42
1104	माँग	42
1105	बदले	42
1106	आलोचना	42
1107	बिहारी	42
1108	बाढ़	42
1109	पहल	42
1110	पुराने	42
1111	हैदराबाद	42
1112	परिसर	42
1113	मुख्यालय	42
1114	बल्कि	42
1115	महल	42
1116	छात्र	42
1117	बनाई	41
1118	जमानत	41
1119	हालत	41
1120	आय	41
1121	आश्वासन	41
1122	उचित	41
1123	बिल	41
1124	सिफारिश	41
1125	लड़ाई	41
1126	घरों	41
1127	शादी	41
1128	विनिवेश	41
1129	आवश्यकता	41
1130	पार्टियों	41
1131	गंभीरता	41
1132	धन	41
1133	कोलकाता	41
1134	डॉलर	41
1135	अनुमान	41
1136	हमेशा	41
1137	पड़े	41
1138	सामग्री	41
1139	नामक	41
1140	निशाना	41
1141	पर्यटकों	41
1142	देता	41
1143	परीक्षा	41
1144	हफ्ते	41
1145	न्यायाधीश	41
1146	नागरिकों	41
1147	लिमिटेड	41
1148	भरोसा	41
1149	आवास	40
1150	वैश्विक	40
1151	व्यवहार	40
1152	सैनिकों	40
1153	गठित	40
1154	गाँव	40
1155	तकनीकी	40
1156	निगरानी	40
1157	आधुनिक	40
1158	महसूस	40
1159	लालकृष्ण	40
1160	जानी	40
1161	अपराध	40
1162	अटल	40
1163	कंप्यूटर	40
1164	याद	40
1165	जिसने	40
1166	प्रमोद	40
1167	कॉलेज	40
1168	सक्रिय	40
1169	करे	40
1170	दिवसीय	40
1171	लोकतंत्र	40
1172	केरल	40
1173	अवैध	40
1174	साझा	40
1175	संदेश	40
1176	अली	40
1177	सेंटर	39
1178	उपकरण	39
1179	सालों	39
1180	अंबानी	39
1181	आधिकारिक	39
1182	क्षेत्रीय	39
1183	लंदन	39
1184	इन्हें	39
1185	जान	39
1186	आरोपों	39
1187	अर्जुन	39
1188	स्टील	39
1189	भेजने	39
1190	बेटी	39
1191	तत्काल	39
1192	सिद्धांत	39
1193	आपराधिक	39
1194	स्थगित	39
1195	चौधरी	39
1196	प्रशिक्षण	39
1197	एशिया	39
1198	देगा	39
1199	द्विपक्षीय	39
1200	बजाय	39
1201	मिलेगा	39
1202	उद्देश्य	39
1203	राहुल	39
1204	सफल	38
1205	पाँच	38
1206	प्रथम	38
1207	शक्ति	38
1208	कराई	38
1209	यूरोप	38
1210	कथित	38
1211	प्रतिनिधित्व	38
1212	खड़ा	38
1213	बढ़ने	38
1214	आंदोलन	38
1215	पड़ेगा	38
1216	चली	38
1217	टिथी	38
1218	शिवराज	38
1219	पुल	38
1220	खतरा	38
1221	वैज्ञानिक	38
1222	प्रतिक्रिया	38
1223	आसपास	38
1224	खुलासा	38
1225	शिकार	38
1226	संग्रहालय	38
1227	गिरफ्तारी	38
1228	नगर	38
1229	लक्ष्य	37
1230	अंत	37
1231	पूजा	37
1232	भगवान	37
1233	आपसी	37
1234	संबंधों	37
1235	रद्द	37
1236	उपाध्यक्ष	37
1237	बौद्ध	37
1238	पुरानी	37
1239	बाकी	37
1240	विजय	37
1241	नक्सलियों	37
1242	हिस्सों	37
1243	आपत्ति	37
1244	श्रीनगर	37
1245	सौंप	37
1246	वामदलों	37
1247	निवासी	37
1248	संवाददाताओं	37
1249	माओवादियों	37
1250	अफसरों	37
1251	जापान	37
1252	दोषी	37
1253	देंगे	37
1254	सहमत	37
1255	जज	36
1256	एच	36
1257	अक्टूबर	36
1258	कार्यकर्ताओं	36
1259	लगाई	36
1260	नायडू	36
1261	उनमें	36
1262	आगामी	36
1263	रिकॉर्ड	36
1264	जिसकी	36
1265	धमकी	36
1266	सक्षम	36
1267	ई	36
1268	अधिकतर	36
1269	माध्यम	36
1270	शायद	36
1271	समझौता	36
1272	कर्मचारी	36
1273	बदलने	36
1274	आरएसएस	36
1275	प्रचार	36
1276	बर्फ	36
1277	सांस्कृतिक	36
1278	कैदियों	36
1279	एसोसिएशन	36
1280	सुनिश्चित	36
1281	इंटरनेट	36
1282	तट	36
1283	घटनाओं	36
1284	संधि	36
1285	विशेषज्ञ	36
1286	उजाला	36
1287	लंबी	36
1288	राजा	36
1289	शुल्क	36
1290	प्रकरण	36
1291	न्यायालय	36
1292	सदस्यीय	36
1293	डॉक्टरों	36
1294	मॉडल	35
1295	पाए	35
1296	श्रद्धालुओं	35
1297	गवाह	35
1298	इलाज	35
1299	प्रेस	35
1300	चुनावी	35
1301	कमान	35
1302	लाहौर	35
1303	बगैर	35
1304	चेतावनी	35
1305	सर्वे	35
1306	मिमी	35
1307	सैनिक	35
1308	टी	35
1309	अमल	35
1310	वोल्कर	35
1311	जमीन	35
1312	आतंकवादियों	35
1313	सका	35
1314	सिर	35
1315	सम्मान	35
1316	हाउस	35
1317	मोबाइल	35
1318	प्रधान	35
1319	चर्च	35
1320	सलेम	35
1321	अंजाम	35
1322	पति	35
1323	भ्रष्टाचार	35
1324	चंडीगढ़	35
1325	शीर्ष	35
1326	प्रगति	34
1327	हवाले	34
1328	छोड़ने	34
1329	कल्याण	34
1330	पूछा	34
1331	पर्याप्त	34
1332	जद	34
1333	पृथ्वी	34
1334	कराए	34
1335	मुहैया	34
1336	इतना	34
1337	वैसे	34
1338	राजमार्ग	34
1339	लड़कियों	34
1340	जिक्र	34
1341	गतिविधियों	34
1342	मात्रा	34
1343	राजीव	34
1344	शपथ	34
1345	माँ	34
1346	पटेल	34
1347	ऐतिहासिक	34
1348	तत्कालीन	34
1349	तर्क	34
1350	लौट	34
1351	वही	34
1352	उपभोक्ता	34
1353	इंतजार	34
1354	नितीश	34
1355	दरअसल	34
1356	आरोपी	33
1357	मूर्ति	33
1358	मे	33
1359	बीमारी	33
1360	प्रयासों	33
1361	शेयर	33
1362	अनेक	33
1363	महीनों	33
1364	हादसे	33
1365	परवेज	33
1366	विहिप	33
1367	वन	33
1368	दें	33
1369	सीधे	33
1370	दिखाया	33
1371	मकान	33
1372	ऋण	33
1373	मजिस्ट्रेट	33
1374	आकर	33
1375	जॉन	33
1376	अपहरण	33
1377	चलाने	33
1378	मानते	33
1379	निर्भर	33
1380	हिंदू	33
1381	सरकारों	33
1382	सिलसिले	33
1383	किसान	33
1384	दस्तावेज	33
1385	जाम	33
1386	पैसे	33
1387	सर्वेक्षण	32
1388	अचानक	32
1389	कीमतों	32
1390	छूट	32
1391	आंतरिक	32
1392	मुलायम	32
1393	युवा	32
1394	अच्छे	32
1395	पहुंची	32
1396	उठाए	32
1397	किले	32
1398	छोड़कर	32
1399	मां	32
1400	जाहिरा	32
1401	खुशी	32
1402	न्यायिक	32
1403	भाषा	32
1404	उल्लंघन	32
1405	आदि	32
1406	गाड़ी	32
1407	उत्तरांचल	32
1408	चले	32
1409	निकाला	32
1410	एजेंसियों	32
1411	गौर	32
1412	मालूम	32
1413	उड़ान	32
1414	विपक्षी	32
1415	निकल	32
1416	उपकरणों	32
1417	रेड्डी	32
1418	अधिनियम	32
1419	मौजूदगी	32
1420	इस्तीफे	32
1421	ऐलान	32
1422	किस	32
1423	मुकेश	32
1424	उठा	32
1425	कार्यकारिणी	32
1426	बढ़ती	32
1427	देख	32
1428	सफलता	31
1429	प्रयोग	31
1430	विद्युत	31
1431	मंच	31
1432	हिमाचल	31
1433	प्रतिनिधि	31
1434	सौंपी	31
1435	गति	31
1436	बहिष्कार	31
1437	मठ	31
